RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,e_plx,pmRA,e_pmRA,pmDE,e_pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA.icrs,_DE.icrs
36.017991345,56.90352267958,458389185064846976,135.3592518836,-3.7163447757,0.4802,0.0914,-0.644,0.183,-0.738,0.173,279,17.279942,1.465651,0.4,NGC_884,36.01799642288,56.90352585708
35.56179393113,57.01636335957,458404853105680000,135.0862403233,-3.6969640399,0.4164,0.0676,-0.386,0.142,-1.081,0.165,269,16.528238,1.251954,0.3,NGC_884,35.56179698393,57.01636801388
35.84621228756,57.01604737809,458402551002979968,135.2319093965,-3.6436507293,0.4181,0.0445,-0.774,0.079,-0.982,0.09,247,15.280185,0.920905,0.6,NGC_884,35.84621840893,57.01605160615
35.51380689668,56.96793508668,458404303349720832,135.078329519,-3.7514281469,0.3942,0.0242,-0.568,0.049,-1.256,0.054,280,13.960814,0.620512,0.7,NGC_884,35.51381138305,56.96794049446
35.74304589969,56.94442286854,458400592497975296,135.204029949,-3.730348554,0.3491,0.0571,-0.438,0.116,-1.208,0.127,284,16.284908,1.330591,0.1,NGC_884,35.74304935707,56.94442806965
35.6242182677,56.92654627077,458400901735648000,135.1492707319,-3.7695505818,0.3034,0.0982,-0.735,0.201,-1.332,0.216,265,17.271229,1.456162,0.2,NGC_884,35.62422406668,56.92655200577
35.99928622595,57.07047640379,458397156523963008,135.2910385189,-3.563560294,0.3873,0.0755,-1.03,0.135,-0.517,0.191,253,16.645832,1.325473,0.1,NGC_884,35.99929438391,57.07047862976
36.12418793737,57.0563806469,458397706279777024,135.3597045075,-3.5528997671,0.3122,0.1178,0.061,0.207,-0.732,0.222,304,17.767803,1.324074,0.1,NGC_884,36.12418745441,57.05638379857
36.01328870178,57.00390229323,458395679055297152,135.3215702513,-3.6232397002,0.3783,0.0512,-0.792,0.094,-0.582,0.103,291,16.23312,1.17236,0.1,NGC_884,36.01329496346,57.00390479906
35.67197732807,56.94619271576,458401279692748416,135.1669733403,-3.7421123644,0.4295,0.0348,-0.418,0.069,-0.95,0.077,254,15.04747,0.68808,0.5,NGC_884,35.67198062773,56.94619680604
35.60687118442,56.95486551285,458401210973270400,135.130578533,-3.7462347194,0.3774,0.1263,-0.188,0.253,-1.688,0.283,267,17.6661,1.317513,0.1,NGC_884,35.60687266882,56.95487278063
35.64245186474,56.96074877769,458401520210907008,135.1467912185,-3.7340173859,0.4495,0.036,-0.419,0.073,-0.864,0.08,273,15.18948,0.769944,0.7,NGC_884,35.64245517359,56.96075249769
35.82978148547,56.93598351026,458390078418033664,135.2514301835,-3.7218230978,0.373,0.0209,-0.567,0.044,-1.098,0.049,288,13.161386,0.60171,0.6,NGC_884,35.8297859601,56.93598823776
35.66584221802,56.94184876314,458401245333015808,135.1653317394,-3.7473454578,0.4015,0.0368,-0.795,0.075,-1.471,0.079,236,14.936384,0.70017,0.6,NGC_884,35.66584849296,56.94185509661
35.94347190137,56.92833993732,458389494302477440,135.3123604585,-3.7073451406,0.2893,0.0812,-0.913,0.157,-0.133,0.162,256,17.036531,1.146833,0.1,NGC_884,35.94347910508,56.92834050996
35.7087943322,56.86384985387,458399733504583424,135.2144344141,-3.812409626,0.3103,0.0495,-0.425,0.114,-1.134,0.112,249,15.784864,1.160388,0.2,NGC_884,35.70879767973,56.86385473637
35.84884460794,56.96090847573,458390215847150720,135.2525002004,-3.6948377441,0.4516,0.0279,-0.473,0.065,-1.074,0.062,224,13.911615,0.616582,0.6,NGC_884,35.84884834324,56.9609130999
36.06186163797,56.99023517972,458395438537140224,135.351200163,-3.6267511302,0.3568,0.0248,-0.679,0.044,-1.299,0.051,280,14.277683,0.634982,0.4,NGC_884,36.06186700429,56.99024077264
36.00306669752,56.92399332438,458389356863521792,135.3444129097,-3.7000305812,0.3848,0.0861,0.301,0.17,-1.079,0.164,271,17.200386,1.34696,0.1,NGC_884,36.00306432286,56.92399797007
36.06025688128,57.04027684511,458396224507971840,135.3327650753,-3.5802062957,0.3522,0.1009,-0.579,0.184,-1.124,0.204,301,17.601505,1.551149,0.2,NGC_884,36.06026146343,57.04028168455
35.73523559538,56.93176930344,458400558128510848,135.2044220598,-3.7436945135,0.394,0.0638,-0.649,0.134,-1.278,0.139,258,16.44946,1.208457,0.6,NGC_884,35.73524071656,56.93177480594
35.69468982532,57.03110528079,458403306917226624,135.1491708334,-3.6581620979,0.3757,0.0466,-0.544,0.085,-1.226,0.107,278,15.833379,1.03319,0.4,NGC_884,35.69469412942,57.0311105594
36.12942946481,57.06556618156,458397706279765632,135.3591353053,-3.5432990305,0.3271,0.04,-0.257,0.074,-0.736,0.086,323,15.859041,1.26812,0.3,NGC_884,36.12943150007,57.06556935045
35.8336656535,57.01595382396,458402447923766784,135.2255259831,-3.646116593,0.4563,0.0453,-0.097,0.083,-0.7,0.099,263,15.664252,1.560441,0.3,NGC_884,35.83366642065,57.01595683785
36.07293129324,57.0712512822,458398496553749248,135.328325631,-3.5487850988,0.48,0.0964,-1.18,0.177,-0.258,0.201,300,17.550043,1.48221,0.1,NGC_884,36.07294063944,57.07125239303
35.56248276597,57.04067518479,458405024904149888,135.0782075111,-3.6740087372,0.449,0.1487,-0.899,0.264,-1.144,0.295,299,17.996572,1.663864,0.1,NGC_884,35.56248988065,57.04068011035
35.98520355122,57.08653152002,458397328322637952,135.2782206481,-3.551203842,0.3048,0.0232,-0.63,0.044,-1.112,0.056,305,14.032672,0.738252,0.3,NGC_884,35.9852085432,57.0865363078
35.78410485506,57.01720639945,458402688441940096,135.1997411209,-3.6543241321,0.3293,0.0392,-0.545,0.068,-1.198,0.089,240,15.150764,0.858339,0.3,NGC_884,35.78410916546,57.01721155751
35.58212249319,57.04147282473,458404990544408832,135.0879842353,-3.669580665,0.3898,0.025,-0.609,0.046,-1.135,0.059,300,14.063559,0.599929,0.7,NGC_884,35.58212731291,57.04147771154
36.01080619518,56.99208553703,458395679055312896,135.3244530324,-3.6347803625,0.3699,0.0352,-0.097,0.063,-0.515,0.076,266,15.339475,0.882598,0.1,NGC_884,36.01080696183,56.99208775439
36.02389623895,57.079264246,458397293962902656,135.3005033185,-3.5506404729,0.3887,0.0481,-0.423,0.092,-0.838,0.107,302,16.206488,1.313894,0.2,NGC_884,36.02389959005,57.07926785406
36.07366275449,57.06744223301,458397019085003008,135.3300399779,-3.552211359,0.4896,0.0647,-0.161,0.118,-0.685,0.133,298,16.785322,1.275328,0.2,NGC_884,36.07366402956,57.06744518232
36.01104292197,57.08750811859,458397293962896128,135.2910531073,-3.5453694854,0.358,0.0225,-0.718,0.047,-1.29,0.056,277,13.527106,0.683288,0.5,NGC_884,36.01104861139,57.08751367276
35.59044828573,56.96521935757,458401210973262592,135.1185782428,-3.7396025477,0.3556,0.0436,-0.524,0.089,-0.96,0.093,276,15.746336,1.018995,0.3,NGC_884,35.59045242426,56.9652234909
35.54095684897,56.94610033579,458403994112224128,135.099782928,-3.7668438646,0.3797,0.06,-0.929,0.122,-1.11,0.135,268,16.343832,1.090633,0.4,NGC_884,35.54096418241,56.94610511496
35.74229677449,57.00371991703,458403032039549568,135.1830390249,-3.6748731062,0.3573,0.0287,-0.711,0.059,-1.051,0.074,242,14.271715,0.629229,0.8,NGC_884,35.74230239575,57.00372444217
36.09516494253,57.07642728009,458397774999234560,135.3378373133,-3.5396901324,0.4059,0.0237,-0.69,0.043,-1.047,0.053,299,14.346759,0.636301,0.8,NGC_884,36.09517040845,57.07643178801
36.1353840115,57.07159547853,458397809358973568,135.3600423525,-3.5365158431,0.3822,0.0535,-0.849,0.099,-1.266,0.115,309,16.43279,1.220869,0.6,NGC_884,36.13539073608,57.07160092936
35.75419994415,57.02907860298,458403066399286656,135.1803152334,-3.6488410967,0.4472,0.0277,-0.642,0.05,-1.264,0.07,269,14.312546,0.643724,0.5,NGC_884,35.75420502335,57.0290840452
35.75102113453,57.0189878585,458403066399287168,135.1821970358,-3.6589053834,0.317,0.1067,-0.997,0.198,-0.949,0.251,253,17.22649,1.257471,0.2,NGC_884,35.75102902018,57.01899194447
35.75964115572,57.04571458941,458403513075884672,135.1773134225,-3.6322114194,0.3783,0.0398,-0.869,0.07,-1.293,0.095,258,15.352134,0.877413,0.4,NGC_884,35.75964803391,57.04572015649
35.99428945725,57.0038723511,458396434969543808,135.3118710913,-3.6268943431,0.3602,0.0342,-0.75,0.063,-1.301,0.074,269,12.485407,0.567418,0.5,NGC_884,35.99429538687,57.00387795263
35.82482157482,57.01906482773,458402654082194048,135.2199183564,-3.6448756187,0.4634,0.1046,-0.751,0.187,-0.865,0.223,265,17.258358,1.467749,0.4,NGC_884,35.82482751477,57.01906855204
35.54569626085,57.02319518898,458404917521710976,135.0756398632,-3.6935645056,0.3384,0.1258,-1.041,0.223,-0.312,0.235,287,17.19839,1.415256,0.1,NGC_884,35.54570449544,57.02319653231
36.09691384768,57.06269722253,458397740639511040,135.3435684711,-3.5522080342,0.3973,0.0455,-0.52,0.084,-1.202,0.096,301,16.077517,1.121447,0.4,NGC_884,36.0969179654,57.06270239781
36.08640198275,56.99198679811,458395816494255616,135.3631239316,-3.6204119478,0.436,0.0567,-0.863,0.105,-0.959,0.118,295,16.319881,1.236921,0.2,NGC_884,36.08640880359,56.99199092714
36.05713468567,57.09026653508,458398565273206784,135.3135789635,-3.5339984969,0.3535,0.0334,-0.528,0.06,-1.212,0.073,321,10.188208,0.434429,0.6,NGC_884,36.05713886984,57.09027175341
36.01784406787,57.10228343226,458397362672014464,135.2893293299,-3.5302367151,0.3564,0.0916,-1.199,0.17,-1.224,0.197,279,16.973217,1.410276,0.2,NGC_884,36.01785357251,57.10228870226
36.05699627188,57.08895942007,458398565273207808,135.3139683994,-3.5352487454,0.4471,0.0458,-0.52,0.129,-1.091,0.083,186,15.564928,1.046534,0.5,NGC_884,36.05700039251,57.08896411743
35.88308416735,57.0235685886,458402516643227520,135.2481334848,-3.6296058537,0.4492,0.1046,-0.435,0.195,-1.219,0.233,293,17.484186,1.546408,0.4,NGC_884,35.88308760835,57.02357383707
35.95028932719,57.01006579764,458396606768234112,135.2872098815,-3.6294801051,0.4018,0.037,-0.582,0.067,-1.085,0.099,254,15.160404,0.76247,0.9,NGC_884,35.95029392934,57.01007046917
