RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA.icrs,_DE.icrs
34.57757153618,57.20900680494,458379048944089344,134.516981062,-3.6957657148,0.3452,-0.905,-0.857,271,15.364304,0.804688,0.6,NGC_869,34.57757873097,57.2090104948
34.62104886262,57.01913418013,458369531296938496,134.6021750815,-3.8671787965,0.2971,-0.731,-0.547,209,16.599653,1.146337,0.2,NGC_869,34.6210546444,57.01913653527
34.83451320154,57.23234986477,458379834914004992,134.6407127724,-3.6275805097,0.2982,-0.681,-0.479,262,15.937356,1.076463,0.2,NGC_869,34.83451861895,57.23235192713
34.70683479182,57.19039022299,458378121231307904,134.5893701069,-3.6901588527,0.3796,-0.577,-0.867,258,16.243004,1.302472,0.4,NGC_869,34.70683937669,57.19039395591
34.82550472657,57.12432792065,458374547813353216,134.6722171596,-3.7310413404,0.3114,-0.828,-0.956,246,16.125486,0.987398,0.7,NGC_869,34.82551129415,57.12433203676
34.63121119487,57.19764694054,458378808425922048,134.548222114,-3.6968878525,0.4146,-0.733,-1.17,247,16.182755,1.161177,0.5,NGC_869,34.63121702046,57.19765197804
34.75828076888,57.32320012367,458381144888706560,134.5714560532,-3.5556482147,0.3431,-0.886,-1.224,257,17.460674,1.409241,0.5,NGC_869,34.7582878345,57.32320539367
34.71506628972,57.16169665145,458377910767805824,134.603132576,-3.7157442905,0.4323,-0.911,-1.036,237,12.428536,0.533692,0.5,NGC_869,34.71507352295,57.16170111201
34.8966154807,56.99602826808,458355512523680640,134.7517059883,-3.8390459584,0.3296,-0.699,-1.076,240,12.728951,0.454806,0.6,NGC_869,34.89662100594,56.99603290086
34.60493048129,57.20143340812,458378980224613760,134.5335035333,-3.6980209919,0.3081,-0.916,-1.144,231,16.757174,1.369948,0.4,NGC_869,34.60493776204,57.20143833368
34.61323624241,57.18539630035,458373104709355520,134.5430706759,-3.7116698632,0.499,-0.529,-0.803,261,16.343212,1.545803,0.6,NGC_869,34.6132404453,57.18539975771
35.13951200535,57.064699344,458362414523492224,134.8533044497,-3.729909626,0.4406,-0.677,-1.083,254,14.281086,0.687709,0.9,NGC_869,35.13951736659,57.06470400692
34.96159988876,56.99090342929,458361113161032704,134.7868542491,-3.8320103903,0.4475,-0.789,-0.853,250,15.788518,1.072351,0.6,NGC_869,34.96160612455,56.99090710193
34.6015526746,57.19456964416,458378980224615168,134.5340452629,-3.7051038928,0.412,-0.653,-1.147,267,14.146179,0.623529,0.9,NGC_869,34.60155786395,57.19457458263
